country_iso3,country_name,cluster,fimi_variant,factor,alpha_raw,alpha,se,ci_lower,ci_upper,z,pvalue,grand_mean,is_reference,sig_95,sig_90
ITA,Italy,Southern,full,FEAR,0.2760361759110617,0.25469278491493474,0.07956212717350095,0.09875388112147737,0.4106316887083921,3.469441877906435,5.21540899123929e-4,0.021343390996126956,FALSE,TRUE,TRUE
LTU,Lithuania,Baltic,full,FEAR,0.277902765050259,0.25655937405413204,0.08661883053159052,0.08678958582923627,0.42632916227902784,3.2083412272451066,0.0013350299951888633,0.021343390996126956,FALSE,TRUE,TRUE
LVA,Latvia,Baltic,full,FEAR,0.2602093366944801,0.23886594569835315,0.08426236164459185,0.07371475162266394,0.40401713977404236,3.0880850194065377,0.0020145082872309317,0.021343390996126956,FALSE,TRUE,TRUE
POL,Poland,Central-East,full,FEAR,0.15719104813231882,0.13584765713619187,0.08376489101663508,-0.02832851242533555,0.30002382669771926,1.8765743765022254,0.06057645199632855,0.021343390996126956,FALSE,FALSE,FALSE
SRB,Serbia,Southern,full,FEAR,-0.17086244714773752,-0.19220583814386447,0.09065278047823722,-0.3698820229796251,-0.014529653308103886,-1.8848009542162474,0.059456716099016926,0.021343390996126956,FALSE,TRUE,TRUE
TUR,Turkey,Southern,full,FEAR,-0.03984683100115152,-0.06119022199727848,0.08496101247435209,-0.2277107465370668,0.10533030254250986,-0.4690013671056525,0.6390686588307641,0.021343390996126956,FALSE,FALSE,FALSE
AUT,Austria,Western,full,SUPF,0.06611614931414424,-0.016367763660497872,0.10848870407097995,-0.22900171636904246,0.19626618904804674,0.6094288790737791,0.5422402007244895,0.08248391297464211,FALSE,FALSE,FALSE
BEL,Belgium,Western,full,SUPF,0,-0.08248391297464211,0,-0.08248391297464211,-0.08248391297464211,NA,NA,0.08248391297464211,TRUE,TRUE,TRUE
BGR,Bulgaria,Central-East,full,SUPF,1.4214674622615042,1.338983549286862,0.11375082849437354,1.1160360222262973,1.5619310763474268,12.496326234070589,0,0.08248391297464211,FALSE,TRUE,TRUE
DEU,Germany,Western,full,SUPF,0.06820431281418628,-0.014279600160455833,0.10580555210227423,-0.22165467164528949,0.1930954713243778,0.6446194122994446,0.5191738517857394,0.08248391297464211,FALSE,FALSE,FALSE
