country_iso3,country_name,cluster,fimi_variant,factor,alpha_raw,alpha,se,ci_lower_raw,ci_upper_raw,ci_lower,ci_upper,grand_mean,sig_95,sig_90,z,pvalue,is_reference
LTU,Lithuania,Baltic,predictors_only,ABAND,-0.2645315481028922,-0.26420705103257835,0.03915363899070511,-0.3412832262797073,-0.1877798699260771,-0.34095872920939346,-0.18745537285576322,-3.244970703138685e-4,TRUE,TRUE,-6.747956456749776,1.499419274233665e-11,FALSE
EST,Estonia,Baltic,predictors_only,ABAND,-0.5770755001640778,-0.5767510030937639,0.03879546927712546,-0.6531250692318041,-0.5010259310963515,-0.6528005721614902,-0.5007014340260376,-3.244970703138685e-4,TRUE,TRUE,-14.86645254820586,5.442159050425014e-50,FALSE
LVA,Latvia,Baltic,predictors_only,ABAND,-0.20028931947585898,-0.1999648224055451,0.039054973636921585,-0.27684758698444495,-0.12373105196727303,-0.2765230899141311,-0.12340655489695916,-3.244970703138685e-4,TRUE,TRUE,-5.120085965606783,3.053964099928426e-7,FALSE
FRA,France,Western,predictors_only,ABAND,-0.0460179221058513,-0.04569342503553744,0.039054973636920925,-0.12257618961443596,0.030540345402733357,-0.12225169254412209,0.030864842473047226,-3.244970703138685e-4,FALSE,FALSE,-1.1699771061256279,0.24201018208056585,FALSE
BEL,Belgium,Western,predictors_only,FEAR,0.0075205310664056835,0.00745658978251809,0.039941479184135695,-0.07077552608870306,0.08581658822151443,-0.07083946737259066,0.08575264693762684,6.394128388759403e-5,FALSE,FALSE,0.18668787272855342,0.8519053650937805,FALSE
DEU,Germany,Western,predictors_only,FEAR,-0.055500552605804845,-0.05556449388969244,0.03984116555772859,-0.1335999680343917,0.022598862822782007,-0.1336639093182793,0.02253492153889441,6.394128388759403e-5,FALSE,FALSE,-1.3946503098455099,0.16312131599497526,FALSE
ITA,Italy,Southern,predictors_only,FEAR,0.14255131338660518,0.14248737210271759,0.03957731387657366,0.06496911831966141,0.22013350845354895,0.06490517703577382,0.22006956716966136,6.394128388759403e-5,TRUE,TRUE,3.6002284679319225,3.1793769533227105e-4,FALSE
HUN,Hungary,Central-East,predictors_only,FEAR,-0.0638523131736874,-0.063916254457575,0.0398078952675332,-0.14188650987237456,0.01418188352499973,-0.14195045115626215,0.014117942241112137,6.394128388759403e-5,FALSE,FALSE,-1.6056175295885151,0.1083579714882823,FALSE
TUR,Turkey,Southern,predictors_only,FEAR,0.16927569431445733,0.16921175303056973,0.03980789526753355,0.09124149761576951,0.24730989101314516,0.09117755633188192,0.24724594972925756,6.394128388759403e-5,TRUE,TRUE,4.25070835555014,2.130954969196758e-5,FALSE
AUT,Austria,Western,predictors_only,FEAR,0.11339482360569385,0.11333088232180626,0.03980789526753311,0.03536062690700689,0.1914290203043808,0.0352966856231193,0.1913650790204932,6.394128388759403e-5,TRUE,TRUE,2.846944847502091,0.004414100904315116,FALSE
BGR,Bulgaria,Central-East,predictors_only,FEAR,0.28409489574518776,0.28403095446130017,0.040042554366880166,0.20560070400801608,0.3625890874823594,0.2055367627241285,0.3625251461984718,6.394128388759403e-5,TRUE,TRUE,7.093227666220682,1.310196481425517e-12,FALSE
POL,Poland,Central-East,predictors_only,FEAR,0.1178507409523089,0.1177867996684213,0.03977470818776227,0.0398815998686774,0.1958198820359404,0.039817658584789806,0.1957559407520528,6.394128388759403e-5,TRUE,TRUE,2.9613491848234728,0.003062944606262403,FALSE
SRB,Serbia,Southern,predictors_only,FEAR,0.1934714312630067,0.1934074899791191,0.03957731387657234,0.11588923619606552,0.2710536263299479,0.11582529491217793,0.2709896850460603,6.394128388759403e-5,TRUE,TRUE,4.8868270995421454,1.02474011013364e-6,FALSE
LTU,Lithuania,Baltic,predictors_only,FEAR,-0.34229518356585426,-0.34235912484974185,0.040008777427619116,-0.4207231634044952,-0.2638672037272133,-0.4207871046883828,-0.2639311450111009,6.394128388759403e-5,TRUE,TRUE,-8.557100388011413,1.1574174232991036e-17,FALSE
EST,Estonia,Baltic,predictors_only,FEAR,-0.59443580294476706,-0.5944997442286547,0.03964278507744895,-0.6721463391996301,-0.516725266689904,-0.6722102804835177,-0.5167892079737917,6.394128388759403e-5,TRUE,TRUE,-14.996417205985855,7.749081907775116e-51,FALSE
LVA,Latvia,Baltic,predictors_only,FEAR,-0.03695788614792393,-0.037021827431811524,0.0399079571646474,-0.11518823111591737,0.04127245882006951,-0.11525217239980497,0.04120851753618192,6.394128388759403e-5,FALSE,FALSE,-0.9276803440244101,0.3535734074345995,FALSE
FRA,France,Western,predictors_only,FEAR,0.06571354479491079,0.0656496035110232,0.03990795716464673,-0.012516800173081322,0.1439438897629029,-0.012580741456968915,0.1438799484790153,6.394128388759403e-5,FALSE,TRUE,1.645025407844735,0.0999645715407822,FALSE
BEL,Belgium,Western,predictors_only,GEN,-0.08427898107817902,-0.08439848242042242,0.03894368862002213,-0.16061909997981183,-0.007938862176546213,-0.16073860132205522,-0.008058363518789604,1.195013422433901e-4,TRUE,TRUE,-2.1671928215097376,0.030220154522978538,FALSE
DEU,Germany,Western,predictors_only,GEN,-0.03810711513951115,-0.03822661648175454,0.038845880959641456,-0.11425550468299804,0.03804127440397574,-0.11437500602524144,0.037921773061732354,1.195013422433901e-4,FALSE,FALSE,-0.9840584262066215,0.3250867865052868,FALSE
ITA,Italy,Southern,predictors_only,GEN,0.03372095021917342,0.033601448876930035,0.038588620639727005,-0.041923139806038144,0.10936504024438498,-0.04204264114828153,0.10924553890214159,1.195013422433901e-4,FALSE,FALSE,0.8707605589389046,0.383884904738953,FALSE
HUN,Hungary,Central-East,predictors_only,GEN,-0.101312323110021,-0.1014318244522644,0.03881344180495483,-0.17739712317306583,-0.02522752304697619,-0.17751662451530922,-0.02534702438921958,1.195013422433901e-4,TRUE,TRUE,-2.61331692669718,0.00896681090249629,FALSE
TUR,Turkey,Southern,predictors_only,GEN,0.23834328409444847,0.23822378275220507,0.03881344180495517,0.16225848403140297,0.31442808415749396,0.16213898268915958,0.3143085828152506,1.195013422433901e-4,TRUE,TRUE,6.137661894281994,8.374485914523273e-10,FALSE
AUT,Austria,Western,predictors_only,GEN,-0.006947511252863721,-0.007067012595107111,0.038813441804954746,-0.08303231131590837,0.06913728881018093,-0.08315181265815176,0.06901778746793753,1.195013422433901e-4,FALSE,FALSE,-0.18207642163300677,0.8555227522387323,FALSE
