country_iso3,country_name,cluster,fimi_variant,predictor,posterior_mean,posterior_sd,q025,q05,q95,q975,sig_95,sig_90,eu_pooled_mean,eu_q025,eu_q975,tau_mean,tau_q025,tau_q975,ml_estimate,ml_se,ml_t,ml_p,shrinkage_pct,in_eu_pi95,eu_pi95_lo,eu_pi95_hi
BGR,Bulgaria,Central-East,russian,GEN,0.04628933390945257,0.08142799337074837,-0.09266791955125847,-0.07295168172801532,0.1945666113028973,0.2232318346806935,FALSE,FALSE,-0.03880842069144989,-0.13126771445766755,0.05759634759381576,0.1378568074551548,0.06930121548757438,0.234649389983545,0.20188842930298606,0.1163491622973251,1.7351945241089848,0.08323208988639233,0.6464525622048247,TRUE,-0.3090077633035533,0.2313909219206535
BGR,Bulgaria,Central-East,russian,THREAT,0.0972480604362752,0.058621127059012,-0.019504557737208213,-0.0012313555509085954,0.1938068110978632,0.21250216673609992,FALSE,FALSE,0.12506106610525658,0.056771826708411986,0.19357921741752257,0.10692887606399408,0.057842350456815184,0.1774513548080315,0.05997781883918948,0.07931883780554208,0.756161089831283,0.4498564823186949,0.5726549175507651,TRUE,-0.08451953098017181,0.334641663190685
BGR,Bulgaria,Central-East,russian,ABAND,-0.051596559524411736,0.06740140596171733,-0.17639308059111083,-0.1543014612569681,0.059811930574137716,0.085626773215963,FALSE,FALSE,-0.1273620584280204,-0.19990786033750343,-0.05461858446873178,0.10569633081719251,0.046977826677575774,0.18021126008190733,0.010152734559539443,0.0865463183550484,0.1173098376974139,0.9066547243819099,0.44903746529682287,TRUE,-0.3345268668297177,0.07980274997367692
BGR,Bulgaria,Central-East,russian,FEAR,0.2965520110302383,0.03773319338829982,0.22257748790459708,0.235045414703838,0.35775723805081655,0.3697237637883969,TRUE,TRUE,0.23800164128225135,0.18492229539370342,0.29054441646401197,0.07891157267909855,0.03525551235786271,0.14041574616190486,0.3079659607487085,0.04427706246291761,6.955428920033537,9.421798732214773e-12,0.1631395803677097,TRUE,0.08333495883121819,0.39266832373328453
BGR,Bulgaria,Central-East,russian,SUPF,-0.27094662444651507,0.07777388562281279,-0.45100119798444294,-0.4154372198679107,-0.16174049755521466,-0.14393045746985783,TRUE,TRUE,-0.2057783272736831,-0.2848264827800838,-0.12483624429789202,0.08932792109589184,0.006631753434470745,0.19364986271404602,-0.4515115080086155,0.11525197747688075,-3.917603132659373,9.997474735436394e-5,0.7348005793196981,FALSE,-0.38086105262163106,-0.03069560192573509
DEU,Germany,Western,russian,GEN,-0.08162836999449494,0.07436854770395805,-0.2413938754598558,-0.20988493991786367,0.03394995198225481,0.05565670456037214,FALSE,FALSE,-0.03880842069144989,-0.13126771445766755,0.05759634759381576,0.1378568074551548,0.06930121548757438,0.234649389983545,-0.19390975007793823,0.10046061654767191,-1.9302066495473038,0.05405858752872748,0.7239227447474392,TRUE,-0.3090077633035533,0.2313909219206535
DEU,Germany,Western,russian,THREAT,0.23570752754569835,0.06001782296653247,0.12099116590008605,0.13766357335368398,0.3375639917317153,0.3563573468911012,TRUE,TRUE,0.12506106610525658,0.056771826708411986,0.19357921741752257,0.10692887606399408,0.057842350456815184,0.1774513548080315,0.30355283021848145,0.0682284209340548,4.449067207811772,1.0304738219844026e-5,0.3801032670042185,TRUE,-0.08451953098017181,0.334641663190685
DEU,Germany,Western,russian,ABAND,-0.22079630639687425,0.06659009578640296,-0.354908819168114,-0.33211624226943126,-0.11492161914653652,-0.09404445395756818,TRUE,TRUE,-0.1273620584280204,-0.19990786033750343,-0.05461858446873178,0.10569633081719251,0.046977826677575774,0.18021126008190733,-0.30038237654505784,0.07296373407050442,-4.1168723115897565,4.386227464620537e-5,0.45998106473453937,TRUE,-0.3345268668297177,0.07980274997367692
DEU,Germany,Western,russian,FEAR,0.24100027055709794,0.03874671148340079,0.16597798221187873,0.1783196017712605,0.3047430591907619,0.31661048102246075,TRUE,TRUE,0.23800164128225135,0.18492229539370342,0.29054441646401197,0.07891157267909855,0.03525551235786271,0.14041574616190486,0.25169421094108707,0.04572115537576186,5.504983609283803,5.506268739613658e-8,0.7810031754768838,TRUE,0.08333495883121819,0.39266832373328453
DEU,Germany,Western,russian,SUPF,-0.1632215388249092,0.06936862151312882,-0.2843255083620407,-0.26471006823412735,-0.03952262965219704,-0.007806626480222177,TRUE,TRUE,-0.2057783272736831,-0.2848264827800838,-0.12483624429789202,0.08932792109589184,0.006631753434470745,0.19364986271404602,-0.0408899888468713,0.09888774072373252,-0.41349907023467797,0.6793907473394404,0.7419054078972154,TRUE,-0.38086105262163106,-0.03069560192573509
