country_iso3,country_name,cluster,item_code,item_short_label,origin,truth_value,short_form,n,mean,sd,se
HUN,Hungary,Central-East,news4,Ukrainian army tolerance mentor,Russian-origin,false,FALSE,599,4.7595993322203665,1.7269176747171229,0.070559943320695
HUN,Hungary,Central-East,news5,Kyiv LGBT brigades,Russian-origin,false,TRUE,599,5.352253756260434,1.7686769507843514,0.07226618108498191
HUN,Hungary,Central-East,news6,Li-Meng Yan COVID rumour,Chinese-origin,false,FALSE,599,4.340567612687813,1.8290320406447669,0.07473222320268967
HUN,Hungary,Central-East,news7,CGTN: China-Vietnam friendship,Chinese-origin,false,TRUE,599,4.195325542570952,1.6561161154414066,0.06766707003399956
HUN,Hungary,Central-East,news8,Banned-leader Li Hongzhi 'plague-rule',Chinese-origin,false,TRUE,599,4.5559265442404016,1.7387365481558392,0.07104284939789807
ITA,Italy,Southern,news1,Zelensky / King Charles mansion,Russian-origin,false,FALSE,606,5.524752475247524,1.7359250816332676,0.07051713609875317
ITA,Italy,Southern,news2,France / Russia in Ukraine,Russian-origin,false,TRUE,606,4.9009900990099,1.7392215442740697,0.07065104573986924
ITA,Italy,Southern,news3,Milan-Cortina 'openly LGBT' Olympics,Russian-origin,false,FALSE,606,4.8349834983498345,1.8170443486652987,0.07381238106874163
ITA,Italy,Southern,news4,Ukrainian army tolerance mentor,Russian-origin,false,FALSE,606,4.6996699669967,1.641073995236147,0.0666640740977783
ITA,Italy,Southern,news5,Kyiv LGBT brigades,Russian-origin,false,TRUE,606,5.503300330033004,1.6720815944244767,0.06792367171244135
ITA,Italy,Southern,news6,Li-Meng Yan COVID rumour,Chinese-origin,false,FALSE,606,4.2706270627062715,1.8134562050943843,0.0736666226997837
ITA,Italy,Southern,news7,CGTN: China-Vietnam friendship,Chinese-origin,false,TRUE,606,4.108910891089109,1.5813018390225384,0.06423599622781327
ITA,Italy,Southern,news8,Banned-leader Li Hongzhi 'plague-rule',Chinese-origin,false,TRUE,606,4.425742574257425,1.5955301281457497,0.06481398096411876
LTU,Lithuania,Baltic,news1,Zelensky / King Charles mansion,Russian-origin,false,FALSE,593,6.021922428330522,1.6299120190729324,0.06693246438814142
LTU,Lithuania,Baltic,news2,France / Russia in Ukraine,Russian-origin,false,TRUE,593,5.664418212478921,1.6986775581093978,0.0697563266204768
