country_iso3,country_name,cluster,construct_id,construct_label,n,mean,sd,se,ci_lower,ci_upper,scale_min,scale_max
BEL,Belgium,Western,admir,Foreign-power admiration (composite),595,2.7585434173669467,1.704168248699552,0.06660360709169616,2.615508870214753,2.8817927170868347,1,7
POL,Poland,Central-East,admir,Foreign-power admiration (composite),600,2.6805555555555554,1.5261863349110107,0.0625721949496371,2.5605555555555553,2.805,1,7
LVA,Latvia,Baltic,admir,Foreign-power admiration (composite),596,2.2894295302013425,1.2621703074605222,0.05098130866795571,2.1891545488441464,2.385987602535421,1,7
LTU,Lithuania,Baltic,admir,Foreign-power admiration (composite),593,1.8875772906127037,1.3108712097389492,0.05431601232698549,1.784059396664793,1.998779745175192,1,7
EST,Estonia,Baltic,admir,Foreign-power admiration (composite),604,1.875,1.1681316317611907,0.04716561154501167,1.783671357615894,1.9674392935982339,1,7
BGR,Bulgaria,Central-East,fear,Fear / pragmatic accommodation,592,5.214527027027026,1.782484372256706,0.0761424735803226,5.067032657657657,5.364287725225225,1,7
SRB,Serbia,Southern,fear,Fear / pragmatic accommodation,606,5.04125412541254,1.8506057292318066,0.07813404541587242,4.881188118811881,5.186468646864687,1,7
TUR,Turkey,Southern,fear,Fear / pragmatic accommodation,599,4.994991652754591,1.7450287608473347,0.07011663853976782,4.850890372843629,5.127977184195881,1,7
ITA,Italy,Southern,fear,Fear / pragmatic accommodation,606,4.9438943894389435,1.6109606031374688,0.06642093665562082,4.814095159515952,5.072607260726072,1,7
POL,Poland,Central-East,fear,Fear / pragmatic accommodation,600,4.8966666666666665,1.8013134390582295,0.07152407132490429,4.749472222222222,5.039430555555556,1,7
AUT,Austria,Western,fear,Fear / pragmatic accommodation,599,4.888146911519198,1.7906790639736363,0.07372751957441524,4.741805787423484,5.026711185308848,1,7
FRA,France,Western,fear,Fear / pragmatic accommodation,596,4.796979865771813,1.6954881123410224,0.06877782646887044,4.663324944071588,4.934563758389263,1,7
BEL,Belgium,Western,fear,Fear / pragmatic accommodation,595,4.685714285714285,1.743785778353766,0.07313431100884965,4.540070028011204,4.826890756302521,1,7
LVA,Latvia,Baltic,fear,Fear / pragmatic accommodation,596,4.600671140939598,2.0632680822096088,0.0829773954575721,4.442953020134229,4.766778523489933,1,7
DEU,Germany,Western,fear,Fear / pragmatic accommodation,598,4.565217391304349,1.8407978942119692,0.07678568674453104,4.41304347826087,4.7134754738015605,1,7
HUN,Hungary,Central-East,fear,Fear / pragmatic accommodation,599,4.549248747913188,1.7684985799594692,0.07398722344351642,4.407345575959933,4.697259321090708,1,7
LTU,Lithuania,Baltic,fear,Fear / pragmatic accommodation,593,4.016863406408094,2.24354606124898,0.0929798330837269,3.826883080382237,4.196725688589096,1,7
EST,Estonia,Baltic,fear,Fear / pragmatic accommodation,604,3.5347682119205306,2.1695426253552386,0.08924351576848981,3.369770971302429,3.7030767108167764,1,7
SRB,Serbia,Southern,gen,General disinformation acceptance,606,4.73003300330033,1.0021410132707027,0.03964229424323526,4.644119911991199,4.804056655665566,1,7
BGR,Bulgaria,Central-East,gen,General disinformation acceptance,592,4.7,1.2535701975839764,0.05446095145711952,4.592584459459459,4.806748310810811,1,7
