country_iso3,country_name,cluster,fimi_variant,rank,predictor_id,std_all,posterior_sd,q025,q975,sig,shrinkage_pct,eu_pooled_mean,in_eu_pi95
HUN,Hungary,Central-East,full,1,FEAR,0.19550092929718332,0.036928356491624126,0.11956622543001293,0.26625510047169876,TRUE,0.5248480318755196,0.22121952784106103,TRUE
HUN,Hungary,Central-East,full,2,GEN,-0.16222829373835795,0.07647052267223323,-0.3085260339205602,-0.006857793790706327,TRUE,0.136950063238526,-0.06467160253549818,TRUE
HUN,Hungary,Central-East,full,3,SUPF,-0.14736157058451813,0.0671450914134019,-0.2840590327354807,-0.01490964507013273,TRUE,-2.2986638273739537,-0.12356529551769466,TRUE
ITA,Italy,Southern,full,1,FEAR,0.24228567197566866,0.037500119636252736,0.1738693999702672,0.3209610041315656,TRUE,0.650025548704422,0.22121952784106103,TRUE
ITA,Italy,Southern,full,2,SUPF,-0.1368286395677807,0.06308937936541757,-0.26279092443715646,-0.009819520394128744,TRUE,1.5214935079177165,-0.12356529551769466,TRUE
ITA,Italy,Southern,full,3,GEN,-0.07308663636229636,0.07079247684176024,-0.2199174058869836,0.06156157747858785,FALSE,0.7862394319030961,-0.06467160253549818,TRUE
LTU,Lithuania,Baltic,full,1,GEN,-0.2667811212411906,0.08608407568733181,-0.4464532549280385,-0.09952598080924534,TRUE,0.4195070216963094,-0.06467160253549818,FALSE
LTU,Lithuania,Baltic,full,2,FEAR,0.18739294718018737,0.036193233275038365,0.11496042295113372,0.25712248467471077,TRUE,0.33451346391403203,0.22121952784106103,TRUE
LTU,Lithuania,Baltic,full,3,ABAND,-0.1164336344657917,0.05828003577250682,-0.23933757921720328,-0.01206208621621418,TRUE,0.43906000794655875,-0.05807386442164764,TRUE
LVA,Latvia,Baltic,full,1,GEN,-0.19859849852535041,0.07677804299060698,-0.3488413346397705,-0.04364301638117594,TRUE,0.04526672430536549,-0.06467160253549818,TRUE
LVA,Latvia,Baltic,full,2,FEAR,0.18575216042742013,0.03664656456115516,0.11235274573099349,0.2559814645943789,TRUE,0.3718930567740598,0.22121952784106103,TRUE
LVA,Latvia,Baltic,full,3,SUPF,-0.1370779108683657,0.07179913165005854,-0.28637715290946686,0.004216242390325361,FALSE,-1.0741165220013444,-0.12356529551769466,TRUE
POL,Poland,Central-East,full,1,FEAR,0.25434545178579426,0.03779201911222071,0.18535827262182078,0.3323845282752632,TRUE,0.522065318083715,0.22121952784106103,TRUE
POL,Poland,Central-East,full,2,SUPF,-0.16739963426595725,0.06804420393504744,-0.3171183225745592,-0.04588498660401971,TRUE,0.7005704159774025,-0.12356529551769466,TRUE
POL,Poland,Central-East,full,3,ABAND,-0.026757901947870144,0.05664031452769596,-0.1315634383234404,0.09038115243780623,FALSE,0.5808256657583477,-0.05807386442164764,TRUE
SRB,Serbia,Southern,full,1,FEAR,0.17249529636713895,0.03508126608260979,0.10216981144046873,0.23809907763137647,TRUE,0.4309584549953305,0.22121952784106103,TRUE
SRB,Serbia,Southern,full,2,GEN,-0.12800504112592298,0.09089988963978399,-0.31823050410982606,0.02922765596252554,FALSE,0.7466716338616372,-0.06467160253549818,TRUE
SRB,Serbia,Southern,full,3,THREAT,0.08605264356567797,0.05252260216334109,-0.017161809440546984,0.18542236328790992,FALSE,0.794310065303164,0.09438265037215082,TRUE
TUR,Turkey,Southern,full,1,THREAT,0.2796153051227551,0.07431393541329652,0.1382077850918193,0.42902817944447036,TRUE,0.40784849532840406,0.09438265037215082,FALSE
