country_iso3,country_name,cluster,fimi_variant,rank,predictor_id,std_all,posterior_sd,q025,q975,sig,shrinkage_pct,eu_pooled_mean,in_eu_pi95
ITA,Italy,Southern,russian,3,ABAND,-0.09359497667941348,0.05258083075759339,-0.19588687691745071,0.014066266576492218,FALSE,0.3140570013063799,-0.1273620584280204,TRUE
LTU,Lithuania,Baltic,russian,1,GEN,-0.2169612051505088,0.08480847829986278,-0.3944627777149924,-0.06700028405498873,TRUE,0.48623836278256816,-0.03880842069144989,FALSE
LTU,Lithuania,Baltic,russian,2,ABAND,-0.21115464339637285,0.056629545022823774,-0.3263961493886489,-0.10252515581896753,TRUE,0.3018713610897824,-0.1273620584280204,TRUE
LTU,Lithuania,Baltic,russian,3,FEAR,0.1899926640722249,0.038726269226115315,0.11213271434742791,0.2643295688703906,TRUE,0.3429043001015807,0.23800164128225135,TRUE
LVA,Latvia,Baltic,russian,1,SUPF,-0.21005308042143836,0.07074931089480277,-0.354823799982822,-0.06839828280356935,TRUE,2.2247555470168034,-0.2057783272736831,TRUE
LVA,Latvia,Baltic,russian,2,FEAR,0.19624854755583324,0.03797993427558395,0.12197596546624209,0.2702356922602761,TRUE,0.3807885416651443,0.23800164128225135,TRUE
LVA,Latvia,Baltic,russian,3,GEN,-0.15310063205063904,0.07530630869731028,-0.3011677581489825,-0.003566497388076668,TRUE,0.08919629172351973,-0.03880842069144989,TRUE
POL,Poland,Central-East,russian,1,FEAR,0.26797861871778905,0.03900321387732273,0.19251963847106274,0.346346422152285,TRUE,0.4965421433463998,0.23800164128225135,TRUE
POL,Poland,Central-East,russian,2,SUPF,-0.23501931865833398,0.06525574338430959,-0.37725902151325313,-0.11953246979756917,TRUE,0.707707566496173,-0.2057783272736831,TRUE
POL,Poland,Central-East,russian,3,ABAND,-0.09317217572818139,0.05984544049714778,-0.20761509951190635,0.026765731066262656,FALSE,0.5103327928099146,-0.1273620584280204,TRUE
SRB,Serbia,Southern,russian,1,FEAR,0.17177608667009142,0.03445972430872846,0.1018540299817077,0.2366224021081699,TRUE,0.2927264174569846,0.23800164128225135,TRUE
SRB,Serbia,Southern,russian,2,THREAT,0.11719474564254705,0.054499169837588256,0.008726722644289276,0.2219445876564119,TRUE,0.716177988297712,0.12506106610525658,TRUE
SRB,Serbia,Southern,russian,3,GEN,-0.09401126831038023,0.09165347802384177,-0.288657629582421,0.06447862669314511,FALSE,0.7716918491693915,-0.03880842069144989,TRUE
TUR,Turkey,Southern,russian,1,THREAT,0.30349707439738577,0.07055329897915998,0.16748577898230843,0.44456646457388627,TRUE,0.2880505229559637,0.12506106610525658,FALSE
TUR,Turkey,Southern,russian,2,FEAR,0.19311205604399898,0.04537129366657954,0.10239753293809496,0.2785872561481507,TRUE,0.5776667810268656,0.23800164128225135,TRUE
TUR,Turkey,Southern,russian,3,SUPF,-0.17280596623411454,0.06922724855772323,-0.3084215237631352,-0.028042129185948252,TRUE,-0.6183697415748821,-0.2057783272736831,TRUE
